ieset_city_id,source_system,source_id,source_name,source_country_name,source_country_iso3,match_type,match_score,manual_review_required,source_id_column,source_name_column
ghsl_ucdb_r2024a:9524,ghsl_ucdb_r2024a,9524,Hyderabad,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5174,ghsl_ucdb_r2024a,5174,Tehran,Iran,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2878,ghsl_ucdb_r2024a,2878,Paris,France,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3570,ghsl_ucdb_r2024a,3570,Dar es-Salaam,Tanzania,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5748,ghsl_ucdb_r2024a,5748,Bandung,Indonesia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3512,ghsl_ucdb_r2024a,3512,Johannesburg,South Africa,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8557,ghsl_ucdb_r2024a,8557,Chongqing,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1648,ghsl_ucdb_r2024a,1648,Kuala Lumpur,Malaysia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10131,ghsl_ucdb_r2024a,10131,Wuhan,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10887,ghsl_ucdb_r2024a,10887,Nanjing,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3026,ghsl_ucdb_r2024a,3026,Riyadh,Saudi Arabia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6143,ghsl_ucdb_r2024a,6143,Ahmedabad,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5213,ghsl_ucdb_r2024a,5213,Nagoya,Japan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9230,ghsl_ucdb_r2024a,9230,Kozhikode,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9127,ghsl_ucdb_r2024a,9127,Tianjin,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5862,ghsl_ucdb_r2024a,5862,Addis Ababa,Ethiopia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4155,ghsl_ucdb_r2024a,4155,Khartoum,Sudan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6913,ghsl_ucdb_r2024a,6913,Surat,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:291,ghsl_ucdb_r2024a,291,Alexandria,Egypt,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3307,ghsl_ucdb_r2024a,3307,Baghdad,Iraq,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7459,ghsl_ucdb_r2024a,7459,Surabaya,Indonesia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8258,ghsl_ucdb_r2024a,8258,Pune,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1717,ghsl_ucdb_r2024a,1717,Nairobi,Kenya,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2334,ghsl_ucdb_r2024a,2334,Santiago,Chile,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2996,ghsl_ucdb_r2024a,2996,Abidjan,Côte d'Ivoire,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:992,ghsl_ucdb_r2024a,992,Amman,Jordan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:11311,ghsl_ucdb_r2024a,11311,Hangzhou,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7222,ghsl_ucdb_r2024a,7222,Luxor,Egypt,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4865,ghsl_ucdb_r2024a,4865,Kabul,Afghanistan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5029,ghsl_ucdb_r2024a,5029,Yangon,Myanmar,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9779,ghsl_ucdb_r2024a,9779,Shenyang,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3175,ghsl_ucdb_r2024a,3175,Accra,Ghana,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7092,ghsl_ucdb_r2024a,7092,Onitsha,Nigeria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7168,ghsl_ucdb_r2024a,7168,Miami,United States,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3338,ghsl_ucdb_r2024a,3338,Madrid,Spain,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7428,ghsl_ucdb_r2024a,7428,Faisalabad,Pakistan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10629,ghsl_ucdb_r2024a,10629,Hefei,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6378,ghsl_ucdb_r2024a,6378,Chengdu,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2869,ghsl_ucdb_r2024a,2869,Toronto,Canada,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2276,ghsl_ucdb_r2024a,2276,Yaoundé,Cameroon,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6897,ghsl_ucdb_r2024a,6897,Mashhad,Iran,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7532,ghsl_ucdb_r2024a,7532,Chicago,United States,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8006,ghsl_ucdb_r2024a,8006,Xi'an,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9346,ghsl_ucdb_r2024a,9346,Lucknow,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1711,ghsl_ucdb_r2024a,1711,Kampala,Uganda,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7439,ghsl_ucdb_r2024a,7439,Chattogram,Bangladesh,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9277,ghsl_ucdb_r2024a,9277,Zhengzhou,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:178,ghsl_ucdb_r2024a,178,Singapore,Singapore,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8125,ghsl_ucdb_r2024a,8125,Kano,Nigeria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9386,ghsl_ucdb_r2024a,9386,Kochi,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1999,ghsl_ucdb_r2024a,1999,Hanoi,Vietnam,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1284,ghsl_ucdb_r2024a,1284,Kumasi,Ghana,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6766,ghsl_ucdb_r2024a,6766,Islamabad,Pakistan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:586,ghsl_ucdb_r2024a,586,Saint Petersburg,Russia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1112,ghsl_ucdb_r2024a,1112,Jeddah,Saudi Arabia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:11185,ghsl_ucdb_r2024a,11185,Hong Kong,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2967,ghsl_ucdb_r2024a,2967,Mogadishu,Somalia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
