ieset_state_id,source_system,source_id,source_name,source_country_iso3,match_type,match_score,manual_review_required,source_id_column,source_name_column
US-MD,us_fips_state,24,Maryland,USA,native_code,1.0,False,state_fips,state_name
US-MD,us_state_abbr,MD,Maryland,USA,native_code,1.0,False,state_abbr,state_name
US-MA,iso_3166_2,US-MA,Massachusetts,USA,native_code,1.0,False,iso_3166_2,state_name
US-MA,us_fips_state,25,Massachusetts,USA,native_code,1.0,False,state_fips,state_name
US-MA,us_state_abbr,MA,Massachusetts,USA,native_code,1.0,False,state_abbr,state_name
US-MI,iso_3166_2,US-MI,Michigan,USA,native_code,1.0,False,iso_3166_2,state_name
US-MI,us_fips_state,26,Michigan,USA,native_code,1.0,False,state_fips,state_name
US-MI,us_state_abbr,MI,Michigan,USA,native_code,1.0,False,state_abbr,state_name
US-MN,iso_3166_2,US-MN,Minnesota,USA,native_code,1.0,False,iso_3166_2,state_name
US-MN,us_fips_state,27,Minnesota,USA,native_code,1.0,False,state_fips,state_name
US-MN,us_state_abbr,MN,Minnesota,USA,native_code,1.0,False,state_abbr,state_name
US-MS,iso_3166_2,US-MS,Mississippi,USA,native_code,1.0,False,iso_3166_2,state_name
US-MS,us_fips_state,28,Mississippi,USA,native_code,1.0,False,state_fips,state_name
US-MS,us_state_abbr,MS,Mississippi,USA,native_code,1.0,False,state_abbr,state_name
US-MO,iso_3166_2,US-MO,Missouri,USA,native_code,1.0,False,iso_3166_2,state_name
US-MO,us_fips_state,29,Missouri,USA,native_code,1.0,False,state_fips,state_name
US-MO,us_state_abbr,MO,Missouri,USA,native_code,1.0,False,state_abbr,state_name
US-MT,iso_3166_2,US-MT,Montana,USA,native_code,1.0,False,iso_3166_2,state_name
US-MT,us_fips_state,30,Montana,USA,native_code,1.0,False,state_fips,state_name
US-MT,us_state_abbr,MT,Montana,USA,native_code,1.0,False,state_abbr,state_name
US-NE,iso_3166_2,US-NE,Nebraska,USA,native_code,1.0,False,iso_3166_2,state_name
US-NE,us_fips_state,31,Nebraska,USA,native_code,1.0,False,state_fips,state_name
US-NE,us_state_abbr,NE,Nebraska,USA,native_code,1.0,False,state_abbr,state_name
US-NV,iso_3166_2,US-NV,Nevada,USA,native_code,1.0,False,iso_3166_2,state_name
US-NV,us_fips_state,32,Nevada,USA,native_code,1.0,False,state_fips,state_name
US-NV,us_state_abbr,NV,Nevada,USA,native_code,1.0,False,state_abbr,state_name
US-NH,iso_3166_2,US-NH,New Hampshire,USA,native_code,1.0,False,iso_3166_2,state_name
US-NH,us_fips_state,33,New Hampshire,USA,native_code,1.0,False,state_fips,state_name
US-NH,us_state_abbr,NH,New Hampshire,USA,native_code,1.0,False,state_abbr,state_name
US-NJ,iso_3166_2,US-NJ,New Jersey,USA,native_code,1.0,False,iso_3166_2,state_name
US-NJ,us_fips_state,34,New Jersey,USA,native_code,1.0,False,state_fips,state_name
US-NJ,us_state_abbr,NJ,New Jersey,USA,native_code,1.0,False,state_abbr,state_name
US-NM,iso_3166_2,US-NM,New Mexico,USA,native_code,1.0,False,iso_3166_2,state_name
US-NM,us_fips_state,35,New Mexico,USA,native_code,1.0,False,state_fips,state_name
US-NM,us_state_abbr,NM,New Mexico,USA,native_code,1.0,False,state_abbr,state_name
US-NY,iso_3166_2,US-NY,New York,USA,native_code,1.0,False,iso_3166_2,state_name
US-NY,us_fips_state,36,New York,USA,native_code,1.0,False,state_fips,state_name
US-NY,us_state_abbr,NY,New York,USA,native_code,1.0,False,state_abbr,state_name
US-NC,iso_3166_2,US-NC,North Carolina,USA,native_code,1.0,False,iso_3166_2,state_name
US-NC,us_fips_state,37,North Carolina,USA,native_code,1.0,False,state_fips,state_name
US-NC,us_state_abbr,NC,North Carolina,USA,native_code,1.0,False,state_abbr,state_name
US-ND,iso_3166_2,US-ND,North Dakota,USA,native_code,1.0,False,iso_3166_2,state_name
US-ND,us_fips_state,38,North Dakota,USA,native_code,1.0,False,state_fips,state_name
US-ND,us_state_abbr,ND,North Dakota,USA,native_code,1.0,False,state_abbr,state_name
US-OH,iso_3166_2,US-OH,Ohio,USA,native_code,1.0,False,iso_3166_2,state_name
US-OH,us_fips_state,39,Ohio,USA,native_code,1.0,False,state_fips,state_name
US-OH,us_state_abbr,OH,Ohio,USA,native_code,1.0,False,state_abbr,state_name
US-OK,iso_3166_2,US-OK,Oklahoma,USA,native_code,1.0,False,iso_3166_2,state_name
US-OK,us_fips_state,40,Oklahoma,USA,native_code,1.0,False,state_fips,state_name
US-OK,us_state_abbr,OK,Oklahoma,USA,native_code,1.0,False,state_abbr,state_name
US-OR,iso_3166_2,US-OR,Oregon,USA,native_code,1.0,False,iso_3166_2,state_name
US-OR,us_fips_state,41,Oregon,USA,native_code,1.0,False,state_fips,state_name
US-OR,us_state_abbr,OR,Oregon,USA,native_code,1.0,False,state_abbr,state_name
